gene_id,family
Zm00001eb353470,GATA
Zm00001eb353480,GATA
Zm00001eb248780,GATA
Zm00001eb258290,GATA
Zm00001eb191940,GATA
Zm00001eb075320,GATA
Zm00001eb402950,GATA
Zm00001eb074830,HD-ZIP
Zm00001eb182650,HD-ZIP
Zm00001eb270270,HD-ZIP
Zm00001eb399360,HD-ZIP
Zm00001eb377500,HD-ZIP
Zm00001eb158680,HD-ZIP
Zm00001eb009550,HD-ZIP
Zm00001eb314500,HD-ZIP
Zm00001eb025650,HD-ZIP
Zm00001eb377480,HD-ZIP
Zm00001eb377490,HD-ZIP
Zm00001eb037670,HD-ZIP
Zm00001eb023620,HD-ZIP
Zm00001eb208000,HD-ZIP
Zm00001eb226590,HD-ZIP
Zm00001eb226580,HD-ZIP
Zm00001eb100690,HD-ZIP
Zm00001eb226570,HD-ZIP
Zm00001eb273120,HD-ZIP
Zm00001eb331010,G2-like
Zm00001eb251670,G2-like
Zm00001eb352200,G2-like
Zm00001eb352210,G2-like
Zm00001eb015750,G2-like
Zm00001eb015490,G2-like
Zm00001eb067190,G2-like
Zm00001eb233310,G2-like
Zm00001eb309360,G2-like
Zm00001eb389770,G2-like
Zm00001eb042980,G2-like
Zm00001eb041430,G2-like
Zm00001eb291350,G2-like
Zm00001eb071920,G2-like
Zm00001eb179690,G2-like
Zm00001eb309370,G2-like
Zm00001eb291140,G2-like
Zm00001eb102160,NAC
Zm00001eb317170,NAC
Zm00001eb264380,NAC
Zm00001eb159340,WRKY
Zm00001eb335440,WRKY
Zm00001eb286490,WRKY
Zm00001eb370960,WRKY
Zm00001eb056780,WRKY
Zm00001eb298580,WRKY
Zm00001eb413920,WRKY
Zm00001eb072020,WRKY
Zm00001eb203940,WRKY
Zm00001eb154170,WRKY
Zm00001eb237820,WRKY
Zm00001eb051120,WRKY
Zm00001eb051110,WRKY
Zm00001eb071590,WRKY
Zm00001eb240750,WRKY
Zm00001eb064880,WRKY
Zm00001eb086280,WRKY
Zm00001eb086270,WRKY
Zm00001eb159410,WRKY
Zm00001eb030990,WRKY
Zm00001eb188100,WRKY
Zm00001eb153330,WRKY
Zm00001eb057820,WRKY
Zm00001eb358740,WRKY
Zm00001eb215190,WRKY
Zm00001eb178170,WRKY
Zm00001eb178160,WRKY
Zm00001eb358680,WRKY
Zm00001eb157490,WRKY
Zm00001eb278090,WRKY
Zm00001eb061030,WRKY
Zm00001eb135400,WRKY
Zm00001eb025220,WRKY
Zm00001eb344810,WRKY
Zm00001eb296020,WRKY
Zm00001eb359740,WRKY
Zm00001eb251530,WRKY
Zm00001eb218880,WRKY
Zm00001eb218870,WRKY
Zm00001eb377160,WRKY
Zm00001eb275080,WRKY
Zm00001eb337290,WRKY
Zm00001eb337280,WRKY
Zm00001eb332300,WRKY
Zm00001eb388620,WRKY
Zm00001eb234120,WRKY
Zm00001eb121620,WRKY
Zm00001eb121610,WRKY
Zm00001eb357350,WRKY
Zm00001eb129690,WRKY
Zm00001eb296130,WRKY
Zm00001eb343960,WRKY
Zm00001eb118760,WRKY
Zm00001eb118750,WRKY
Zm00001eb250560,ERF
Zm00001eb193060,ERF
Zm00001eb040530,ERF
Zm00001eb338000,ERF
Zm00001eb239430,ERF
Zm00001eb074750,ERF
Zm00001eb249450,ERF
Zm00001eb239450,ERF
Zm00001eb186480,ERF
Zm00001eb186490,ERF
Zm00001eb384720,ERF
Zm00001eb074730,ERF
Zm00001eb023210,ERF
Zm00001eb249470,ERF
Zm00001eb249440,ERF
Zm00001eb391180,ERF
Zm00001eb391190,ERF
Zm00001eb271520,ERF
Zm00001eb068530,ERF
Zm00001eb375580,ERF
Zm00001eb432090,ERF
Zm00001eb387280,AP2
Zm00001eb068520,AP2
Zm00001eb303820,AP2
Zm00001eb303810,AP2
Zm00001eb265610,AP2
Zm00001eb355240,AP2
Zm00001eb062460,AP2
Zm00001eb408800,ARF
Zm00001eb082150,B3
Zm00001eb295830,ARF
Zm00001eb152940,ARF
Zm00001eb363810,ARF
Zm00001eb182260,ARF
Zm00001eb142540,ARF
Zm00001eb133000,ARF
Zm00001eb170540,ARF
Zm00001eb157270,ARF
Zm00001eb292830,ARF
Zm00001eb243930,ARF
Zm00001eb370810,ARF
Zm00001eb150360,bZIP
Zm00001eb332590,bZIP
Zm00001eb369280,bZIP
Zm00001eb331170,bZIP
Zm00001eb289720,C2H2
Zm00001eb012700,C2H2
Zm00001eb062540,C2H2
Zm00001eb397490,Unknown
Zm00001eb368050,C2H2
Zm00001eb271710,C2H2
Zm00001eb148570,C2H2
Zm00001eb148580,Unknown
Zm00001eb368070,Unknown
Zm00001eb211760,C2H2
Zm00001eb062560,Unknown
Zm00001eb326310,C2H2
Zm00001eb108210,C2H2
Zm00001eb331000,Dof
Zm00001eb353140,Dof
Zm00001eb012440,Dof
Zm00001eb428830,Dof
Zm00001eb049160,Dof
Zm00001eb062640,Dof
Zm00001eb366750,Dof
Zm00001eb051380,Dof
Zm00001eb219030,Dof
Zm00001eb105770,Dof
Zm00001eb370600,Dof
Zm00001eb214170,Dof
Zm00001eb315950,Dof
Zm00001eb128310,Dof
Zm00001eb062660,Dof
Zm00001eb058480,Dof
Zm00001eb187120,Dof
Zm00001eb029220,Dof
Zm00001eb029230,Dof
Zm00001eb030450,Dof
Zm00001eb322390,Dof
Zm00001eb146810,Dof
Zm00001eb020000,Dof
Zm00001eb048370,Dof
Zm00001eb252220,Dof
Zm00001eb433840,Dof
Zm00001eb211700,Dof
Zm00001eb211710,Dof
Zm00001eb005380,Dof
Zm00001eb250390,Dof
Zm00001eb136460,Dof
Zm00001eb136470,Dof
Zm00001eb219550,Dof
Zm00001eb219560,Dof
Zm00001eb157100,Dof
Zm00001eb157110,Dof
Zm00001eb253280,Dof
Zm00001eb152620,Dof
Zm00001eb152630,Dof
Zm00001eb292790,Dof
Zm00001eb189510,Dof
Zm00001eb417670,Dof
Zm00001eb044660,Dof
Zm00001eb128930,Dof
Zm00001eb188460,Dof
Zm00001eb337970,HD-ZIP
Zm00001eb031670,HD-ZIP
Zm00001eb031660,HD-ZIP
Zm00001eb050660,HB-other
Zm00001eb000690,HD-ZIP
Zm00001eb404260,HD-ZIP
Zm00001eb136060,HD-ZIP
Zm00001eb045630,HD-ZIP
Zm00001eb103330,HD-ZIP
Zm00001eb319390,HD-ZIP
Zm00001eb092480,WOX
Zm00001eb149680,WOX
Zm00001eb148390,WOX
Zm00001eb265710,WOX
Zm00001eb355310,WOX
Zm00001eb015500,WOX
Zm00001eb368970,WOX
Zm00001eb401450,HD-ZIP
Zm00001eb353700,HSF
Zm00001eb353720,HSF
Zm00001eb353730,HSF
Zm00001eb353710,HSF
Zm00001eb293250,HSF
Zm00001eb017880,HSF
Zm00001eb100770,HSF
Zm00001eb160080,HSF
Zm00001eb047760,HSF
Zm00001eb328900,HSF
Zm00001eb399800,HSF
Zm00001eb242480,HSF
Zm00001eb358700,HSF
Zm00001eb100410,HSF
Zm00001eb159390,HSF
Zm00001eb198620,HSF
Zm00001eb239380,HSF
Zm00001eb064860,HSF
Zm00001eb384760,HSF
Zm00001eb384750,HSF
Zm00001eb371000,HSF
Zm00001eb009210,HSF
Zm00001eb009170,HSF
Zm00001eb301280,HSF
Zm00001eb060680,HSF
Zm00001eb060670,HSF
Zm00001eb314890,HSF
Zm00001eb037600,HSF
Zm00001eb319350,HSF
Zm00001eb004670,HSF
Zm00001eb384070,HSF
Zm00001eb428800,HSF
Zm00001eb210530,HSF
Zm00001eb056980,HSF
Zm00001eb056970,HSF
Zm00001eb403030,LBD
Zm00001eb191160,LBD
Zm00001eb191170,LBD
Zm00001eb026870,LBD
Zm00001eb003910,LBD
Zm00001eb003920,LBD
Zm00001eb010570,LBD
Zm00001eb398670,LBD
Zm00001eb055540,MYB
Zm00001eb128760,MYB
Zm00001eb128750,MYB
Zm00001eb332860,MYB
Zm00001eb041450,MYB_related
Zm00001eb216040,MYB
Zm00001eb128770,MYB
Zm00001eb138640,MYB
Zm00001eb365420,ARR-B
Zm00001eb144290,ARR-B
Zm00001eb234170,G2-like
Zm00001eb362240,G2-like
Zm00001eb009140,ARR-B
Zm00001eb399830,ARR-B
Zm00001eb388280,ARR-B
Zm00001eb288080,G2-like
Zm00001eb288090,G2-like
Zm00001eb275780,G2-like
Zm00001eb374760,ARR-B
Zm00001eb349460,G2-like
Zm00001eb349450,G2-like
Zm00001eb257860,ARR-B
Zm00001eb371980,G2-like
Zm00001eb118900,G2-like
Zm00001eb172460,MYB_related
Zm00001eb172450,MYB_related
Zm00001eb172470,MYB_related
Zm00001eb250940,MYB_related
Zm00001eb065440,MYB_related
Zm00001eb228670,MYB_related
Zm00001eb187450,MYB_related
Zm00001eb428070,MYB_related
Zm00001eb361040,MYB
Zm00001eb199170,MYB
Zm00001eb129490,MYB
Zm00001eb080690,MYB
Zm00001eb123130,MYB
Zm00001eb162680,MYB
Zm00001eb229870,MYB
Zm00001eb155190,MYB
Zm00001eb155200,MYB
Zm00001eb033610,MYB
Zm00001eb342580,MYB
Zm00001eb417620,MYB_related
Zm00001eb018070,MYB
Zm00001eb328600,MYB_related
Zm00001eb255300,MYB
Zm00001eb248560,MYB
Zm00001eb354510,MYB
Zm00001eb321920,MYB
Zm00001eb294560,MYB
Zm00001eb416400,MYB_related
Zm00001eb185920,MYB
Zm00001eb410950,MYB
Zm00001eb051310,G2-like
Zm00001eb041890,G2-like
Zm00001eb251390,G2-like
Zm00001eb187880,G2-like
Zm00001eb311960,G2-like
Zm00001eb250280,G2-like
Zm00001eb415640,G2-like
Zm00001eb179290,G2-like
Zm00001eb172240,G2-like
Zm00001eb135200,G2-like
Zm00001eb058610,G2-like
Zm00001eb274210,MYB_related
Zm00001eb187250,MYB_related
Zm00001eb187260,MYB_related
Zm00001eb187270,MYB_related
Zm00001eb379300,MYB_related
Zm00001eb389960,MYB_related
Zm00001eb396390,MYB
Zm00001eb130260,MYB_related
Zm00001eb340000,MYB_related
Zm00001eb340010,MYB_related
Zm00001eb014260,MYB
Zm00001eb040070,MYB_related
Zm00001eb014290,MYB
Zm00001eb014420,MYB
Zm00001eb014390,MYB
Zm00001eb014370,MYB
Zm00001eb146230,MYB
Zm00001eb278680,MYB
Zm00001eb247370,MYB
Zm00001eb184890,MYB
Zm00001eb136720,MYB
Zm00001eb164740,MYB_related
Zm00001eb335060,MYB
Zm00001eb028820,MYB_related
Zm00001eb125520,MYB
Zm00001eb266370,MYB_related
Zm00001eb199970,SBP
Zm00001eb101920,SBP
Zm00001eb211350,SBP
Zm00001eb429720,SBP
Zm00001eb429730,SBP
Zm00001eb063390,SBP
Zm00001eb035370,SBP
Zm00001eb316740,SBP
Zm00001eb364360,SBP
Zm00001eb349730,SBP
Zm00001eb427470,YABBY
Zm00001eb324980,YABBY
Zm00001eb075520,YABBY
Zm00001eb218500,YABBY
Zm00001eb220660,YABBY
Zm00001eb008680,YABBY
Zm00001eb400130,YABBY
Zm00001eb300360,YABBY
Zm00001eb134520,YABBY
Zm00001eb032110,YABBY
Zm00001eb043940,YABBY
Zm00001eb248640,YABBY
Zm00001eb228620,Unknown
Zm00001eb103060,TCP
Zm00001eb036400,TCP
Zm00001eb036410,TCP
Zm00001eb200970,TCP
Zm00001eb200960,TCP
Zm00001eb364120,TCP
Zm00001eb364110,TCP
Zm00001eb254600,TCP
Zm00001eb185560,TCP
Zm00001eb142960,TCP
Zm00001eb408080,TCP
Zm00001eb408090,TCP
Zm00001eb419680,TCP
Zm00001eb037480,TCP
Zm00001eb372490,TCP
Zm00001eb279580,TCP
Zm00001eb248270,TCP
Zm00001eb091630,TCP
Zm00001eb259370,TCP
Zm00001eb427020,TCP
Zm00001eb427010,TCP
Zm00001eb139800,WRKY
Zm00001eb353670,WRKY
Zm00001eb101700,WRKY
Zm00001eb169460,WRKY
Zm00001eb169470,WRKY
Zm00001eb112840,WRKY
Zm00001eb371340,WRKY
Zm00001eb371350,WRKY
Zm00001eb075170,WRKY
Zm00001eb316310,WRKY
Zm00001eb186280,WRKY
Zm00001eb293420,WRKY
Zm00001eb350280,WRKY
Zm00001eb346880,WRKY
Zm00001eb154960,WRKY
Zm00001eb356430,WRKY
Zm00001eb282830,WRKY
Zm00001eb282840,WRKY
Zm00001eb337270,WRKY
Zm00001eb294180,WRKY
Zm00001eb099460,WRKY
Zm00001eb312870,WRKY
Zm00001eb312890,WRKY
Zm00001eb406030,WRKY
Zm00001eb191780,NAC
Zm00001eb258400,NAC
Zm00001eb080700,NAC
Zm00001eb145580,NAC
Zm00001eb260000,NAC
Zm00001eb224800,NAC
Zm00001eb303620,NAC
Zm00001eb303630,NAC
Zm00001eb408860,NAC
Zm00001eb201290,NAC
Zm00001eb095110,NAC
Zm00001eb288360,NAC
Zm00001eb032650,NAC
Zm00001eb277900,NAC
Zm00001eb173840,NAC
Zm00001eb269810,NAC
Zm00001eb260850,NAC
Zm00001eb082040,NAC
Zm00001eb383230,NAC
Zm00001eb238270,NAC
Zm00001eb378150,NAC
Zm00001eb423160,NAC
Zm00001eb001990,NAC
Zm00001eb121600,WRKY
Zm00001eb414830,ERF
Zm00001eb175740,ERF
Zm00001eb183620,ERF
Zm00001eb330200,ERF
Zm00001eb302740,ERF
Zm00001eb111080,ERF
Zm00001eb302750,ERF
Zm00001eb330490,ERF
Zm00001eb116410,bHLH
Zm00001eb364850,bHLH
Zm00001eb169340,bHLH
Zm00001eb102260,bHLH
Zm00001eb055990,bHLH
Zm00001eb252100,bHLH
Zm00001eb061300,bHLH
Zm00001eb101360,bHLH
Zm00001eb317460,bHLH
Zm00001eb175540,bHLH
Zm00001eb112680,bHLH
Zm00001eb188380,bHLH
Zm00001eb102580,bHLH
Zm00001eb143520,bHLH
Zm00001eb009490,bHLH
Zm00001eb215610,bHLH
Zm00001eb399390,bHLH
Zm00001eb315870,bHLH
Zm00001eb036990,bHLH
Zm00001eb100750,bZIP
Zm00001eb373300,bZIP
Zm00001eb348490,bZIP
Zm00001eb176680,bZIP
Zm00001eb366900,bZIP
Zm00001eb038010,bZIP
Zm00001eb331250,bZIP
Zm00001eb150010,bZIP
Zm00001eb352240,bZIP
Zm00001eb217480,TALE
Zm00001eb217470,TALE
Zm00001eb386830,TALE
Zm00001eb403720,TALE
Zm00001eb052120,TALE
Zm00001eb001720,TALE
Zm00001eb234270,TALE
Zm00001eb206760,TALE
Zm00001eb030400,G2-like
Zm00001eb406660,G2-like
Zm00001eb298990,G2-like
Zm00001eb058460,G2-like
Zm00001eb406610,G2-like
Zm00001eb214200,G2-like
Zm00001eb214190,G2-like
Zm00001eb118010,G2-like
Zm00001eb122550,G2-like
Zm00001eb160740,MYB_related
Zm00001eb155280,MYB_related
Zm00001eb357490,MYB_related
Zm00001eb307400,MYB
Zm00001eb095690,MYB
Zm00001eb139600,MYB
Zm00001eb417190,MYB
Zm00001eb165000,MYB
Zm00001eb395580,MYB
Zm00001eb028610,MYB
Zm00001eb158910,MYB
Zm00001eb136760,MYB
Zm00001eb354750,MYB
Zm00001eb417170,MYB
Zm00001eb202680,MYB
Zm00001eb202670,MYB
Zm00001eb369190,MYB
Zm00001eb150140,MYB
Zm00001eb391130,MYB_related
Zm00001eb337410,MYB_related
Zm00001eb357780,MYB_related
Zm00001eb161460,MYB_related
Zm00001eb023780,MYB_related
Zm00001eb416380,MYB_related
Zm00001eb416370,MYB_related
Zm00001eb172880,MYB_related
Zm00001eb335680,MYB_related
Zm00001eb332340,MYB_related
Zm00001eb023160,MYB_related
Zm00001eb234690,MYB
Zm00001eb367660,MYB_related
Zm00001eb135740,CPP
Zm00001eb031300,CPP
Zm00001eb014730,SET
Zm00001eb152420,CPP
Zm00001eb292380,CPP
Zm00001eb352860,CPP
Zm00001eb370470,CPP
Zm00001eb301170,CPP
Zm00001eb271490,Unknown
Zm00001eb031310,CPP
Zm00001eb281570,CPP
Zm00001eb050860,CPP
Zm00001eb237340,CPP
Zm00001eb135750,CPP
Zm00001eb396070,Unknown
Zm00001eb193290,Unknown
Zm00001eb178550,WRKY
Zm00001eb376400,WRKY
Zm00001eb310270,WRKY
Zm00001eb149550,WRKY
Zm00001eb344160,WRKY
Zm00001eb285050,WRKY
Zm00001eb310260,WRKY
Zm00001eb098330,WRKY
Zm00001eb042020,WRKY
Zm00001eb158000,WRKY
Zm00001eb359470,WRKY
Zm00001eb347600,ERF
Zm00001eb038660,ERF
Zm00001eb175640,ERF
Zm00001eb402050,ERF
Zm00001eb005650,ERF
Zm00001eb402030,ERF
Zm00001eb402040,ERF
Zm00001eb150830,ERF
Zm00001eb369550,ERF
Zm00001eb062200,ERF
Zm00001eb119540,ERF
Zm00001eb398190,bHLH
Zm00001eb041610,bHLH
Zm00001eb179590,bHLH
Zm00001eb024330,bHLH
Zm00001eb318500,bHLH
Zm00001eb055830,bHLH
Zm00001eb198510,bHLH
Zm00001eb390330,bHLH
Zm00001eb339360,bHLH
Zm00001eb215740,bHLH
Zm00001eb102950,bHLH
Zm00001eb119000,bHLH
Zm00001eb119010,bHLH
Zm00001eb119020,bHLH
Zm00001eb155400,bHLH
Zm00001eb155410,bHLH
Zm00001eb159750,bHLH
Zm00001eb114530,bHLH
Zm00001eb123570,bHLH
Zm00001eb016100,bZIP
Zm00001eb395100,bZIP
Zm00001eb031210,bZIP
Zm00001eb233420,bZIP
Zm00001eb389660,bZIP
Zm00001eb296340,bZIP
Zm00001eb133640,bZIP
Zm00001eb303220,bZIP
Zm00001eb157860,bZIP
Zm00001eb129290,bZIP
Zm00001eb095290,bZIP
Zm00001eb037290,bZIP
Zm00001eb208830,bZIP
Zm00001eb411700,bZIP
Zm00001eb231040,bZIP
Zm00001eb202260,bZIP
Zm00001eb407530,bZIP
Zm00001eb139480,bZIP
Zm00001eb092090,bZIP
Zm00001eb074570,C2H2
Zm00001eb083590,E2F/DP
Zm00001eb042400,HD-ZIP
Zm00001eb189900,HD-ZIP
Zm00001eb101280,HD-ZIP
Zm00001eb315750,HD-ZIP
Zm00001eb048440,HD-ZIP
Zm00001eb248930,HD-ZIP
Zm00001eb027860,HD-ZIP
Zm00001eb179000,HD-ZIP
Zm00001eb006700,HD-ZIP
Zm00001eb006710,HD-ZIP
Zm00001eb005440,HD-ZIP
Zm00001eb402220,HD-ZIP
Zm00001eb402230,HD-ZIP
Zm00001eb075230,HD-ZIP
Zm00001eb427650,HD-ZIP
Zm00001eb223300,HD-ZIP
Zm00001eb428740,HD-ZIP
Zm00001eb070050,HD-ZIP
Zm00001eb416980,HD-ZIP
Zm00001eb126140,HD-ZIP
Zm00001eb319090,HD-ZIP
Zm00001eb431350,HD-ZIP
Zm00001eb024680,HD-ZIP
Zm00001eb193330,HD-ZIP
Zm00001eb171720,HD-ZIP
Zm00001eb256420,HD-ZIP
Zm00001eb055920,TALE
Zm00001eb299420,TALE
Zm00001eb354880,TALE
Zm00001eb117820,TALE
Zm00001eb264910,TALE
Zm00001eb264920,TALE
Zm00001eb084300,Trihelix
Zm00001eb209880,Trihelix
Zm00001eb229400,Trihelix
Zm00001eb425230,Trihelix
Zm00001eb397700,Unknown
Zm00001eb012310,Unknown
Zm00001eb424820,Unknown
Zm00001eb109820,MYB
Zm00001eb277820,G2-like
Zm00001eb073790,G2-like
Zm00001eb428890,G2-like
Zm00001eb403500,G2-like
Zm00001eb238710,G2-like
Zm00001eb094230,G2-like
Zm00001eb002310,G2-like
Zm00001eb275490,MYB
Zm00001eb387370,MYB
Zm00001eb148320,MYB
Zm00001eb245040,MYB_related
Zm00001eb040160,MYB
Zm00001eb280660,MYB
Zm00001eb190160,MYB
Zm00001eb319620,MYB
Zm00001eb041860,MYB_related
Zm00001eb312160,MYB
Zm00001eb312120,MYB
Zm00001eb383720,G2-like
Zm00001eb324070,MYB
Zm00001eb072200,MYB
Zm00001eb041540,MYB
Zm00001eb430000,MYB
Zm00001eb430010,MYB
Zm00001eb430020,MYB
Zm00001eb106790,MYB
Zm00001eb320830,NAC
Zm00001eb403880,NAC
Zm00001eb001460,NAC
Zm00001eb157260,NAC
Zm00001eb337530,NAC
Zm00001eb121380,NAC
Zm00001eb295810,NAC
Zm00001eb280490,NAC
Zm00001eb216630,TCP
Zm00001eb054440,TCP
Zm00001eb179560,TCP
Zm00001eb312380,TCP
Zm00001eb099370,TCP
Zm00001eb041640,TCP
Zm00001eb120010,TCP
Zm00001eb120020,TCP
Zm00001eb117560,TCP
Zm00001eb353030,TCP
Zm00001eb213430,TCP
Zm00001eb059920,TCP
Zm00001eb292690,TCP
Zm00001eb370770,TCP
Zm00001eb152350,TCP
Zm00001eb328570,TCP
Zm00001eb057960,WRKY
Zm00001eb424710,WRKY
Zm00001eb368640,WRKY
Zm00001eb138040,WRKY
Zm00001eb107920,WRKY
Zm00001eb264780,WRKY
Zm00001eb149300,WRKY
Zm00001eb290350,WRKY
Zm00001eb393300,WRKY
Zm00001eb325760,WRKY
Zm00001eb176740,WRKY
Zm00001eb079950,WRKY
Zm00001eb307550,ERF
Zm00001eb168540,ERF
Zm00001eb007000,ERF
Zm00001eb067800,ERF
Zm00001eb235640,ERF
Zm00001eb432460,ERF
Zm00001eb276700,ERF
Zm00001eb276690,ERF
Zm00001eb192320,ERF
Zm00001eb268180,ERF
Zm00001eb311180,ERF
Zm00001eb374830,ERF
Zm00001eb338940,ERF
Zm00001eb075900,ERF
Zm00001eb194220,ERF
Zm00001eb027780,ERF
Zm00001eb427130,ERF
Zm00001eb255160,ERF
Zm00001eb042240,ERF
Zm00001eb401290,ERF
Zm00001eb248390,ERF
Zm00001eb248380,ERF
Zm00001eb185680,ERF
Zm00001eb372660,ERF
Zm00001eb145420,ERF
Zm00001eb073550,ERF
Zm00001eb360750,B3
Zm00001eb294830,ERF
Zm00001eb342850,RAV
Zm00001eb156040,RAV
Zm00001eb207450,ARF
Zm00001eb067270,ARF
Zm00001eb224680,ARF
Zm00001eb136130,ARF
Zm00001eb066640,ARF
Zm00001eb031700,ARF
Zm00001eb433020,ARF
Zm00001eb232120,ARF
Zm00001eb373970,ARF
Zm00001eb035640,ARF
Zm00001eb227100,ARF
Zm00001eb052200,bHLH
Zm00001eb036040,bHLH
Zm00001eb374120,bHLH
Zm00001eb278470,bHLH
Zm00001eb244380,bHLH
Zm00001eb101410,bHLH
Zm00001eb315910,bHLH
Zm00001eb253350,bHLH
Zm00001eb316660,bHLH
Zm00001eb101880,bHLH
Zm00001eb425310,bHLH
Zm00001eb212930,bHLH
Zm00001eb301520,bHLH
Zm00001eb330680,bZIP
Zm00001eb288060,bZIP
Zm00001eb288050,bZIP
Zm00001eb288040,bZIP
Zm00001eb146690,bZIP
Zm00001eb033630,bZIP
Zm00001eb253370,bZIP
Zm00001eb189840,bZIP
Zm00001eb199200,bZIP
Zm00001eb099900,C2H2
Zm00001eb313650,C2H2
Zm00001eb099870,C2H2
Zm00001eb392090,C2H2
Zm00001eb099880,C2H2
Zm00001eb100360,C2H2
Zm00001eb211750,Unknown
Zm00001eb375650,C2H2
Zm00001eb298060,C2H2
Zm00001eb419830,C2H2
Zm00001eb259200,C2H2
Zm00001eb305910,C2H2
Zm00001eb108200,C2H2
Zm00001eb027800,CAMTA
Zm00001eb223920,CAMTA
Zm00001eb392440,CAMTA
Zm00001eb006890,CAMTA
Zm00001eb226740,GATA
Zm00001eb273020,GATA
Zm00001eb280090,E2F/DP
Zm00001eb194770,E2F/DP
Zm00001eb254070,E2F/DP
Zm00001eb063610,GATA
Zm00001eb360000,HB-other
Zm00001eb359990,HB-other
Zm00001eb295800,HB-other
Zm00001eb343660,HB-other
Zm00001eb157210,HB-other
Zm00001eb157220,HB-other
Zm00001eb157230,HB-other
Zm00001eb157200,HB-other
Zm00001eb098960,HD-ZIP
Zm00001eb007950,HD-ZIP
Zm00001eb107800,HD-ZIP
Zm00001eb130180,TALE
Zm00001eb058930,TALE
Zm00001eb188410,ZF-HD
Zm00001eb005020,TALE
Zm00001eb051900,TALE
Zm00001eb268690,TALE
Zm00001eb021970,TALE
Zm00001eb021980,TALE
Zm00001eb347710,TALE
Zm00001eb384240,TALE
Zm00001eb032780,TALE
Zm00001eb289480,TALE
Zm00001eb217350,TALE
Zm00001eb147970,TALE
Zm00001eb051910,TALE
Zm00001eb001770,TALE
Zm00001eb056260,TALE
Zm00001eb202150,TALE
Zm00001eb202140,TALE
Zm00001eb355150,LBD
Zm00001eb123060,LBD
Zm00001eb195020,LBD
Zm00001eb286410,LBD
Zm00001eb218120,LBD
Zm00001eb052620,LBD
Zm00001eb405850,LBD
Zm00001eb332030,MYB_related
Zm00001eb138920,MYB
