gene_id,gene_name,description,ath_gene_id,ath_alias,gene_name_figs
GRMZM5G844074,GRMZM5G844074,30S ribosomal protein S15,ATCG01120,RPS15,GRMZM5G844074 (RPS15)
GRMZM5G844331,GRMZM5G844331,Putative uncharacterized protein orf134-b,,,GRMZM5G844331
GRMZM5G844605,GRMZM5G844605,Putative uncharacterized protein orf106-a1,,,GRMZM5G844605
GRMZM5G844628,GRMZM5G844628,"30S ribosomal protein S7, chloroplastic",ATCG00900,RPS7.1,GRMZM5G844628 (RPS7.1)
GRMZM5G844628,GRMZM5G844628,"30S ribosomal protein S7, chloroplastic",ATCG01240,RPS7.2,GRMZM5G844628 (RPS7.2)
GRMZM5G844657,GRMZM5G844657,Putative uncharacterized protein orf100-a2,,,GRMZM5G844657
GRMZM5G845230,GRMZM5G845230,Putative uncharacterized protein orf130,,,GRMZM5G845230
GRMZM5G845244,GRMZM5G845244,"30S ribosomal protein S8, chloroplastic",ATCG00770,RPS8,GRMZM5G845244 (RPS8)
GRMZM5G845496,GRMZM5G845496,Putative uncharacterized protein orf99-g,,,GRMZM5G845496
GRMZM5G845792,GRMZM5G845792,Putative uncharacterized protein orf135,,,GRMZM5G845792
GRMZM5G846068,GRMZM5G846068,Putative uncharacterized protein orf149-b,,,GRMZM5G846068
GRMZM5G846968,GRMZM5G846968,DNA-directed RNA polymerase,,,GRMZM5G846968
GRMZM5G847102,GRMZM5G847102,Putative uncharacterized protein orf115-e,,,GRMZM5G847102
GRMZM5G849018,GRMZM5G849018,Putative uncharacterized protein orf106-a1,,,GRMZM5G849018
GRMZM5G849223,GRMZM5G849223,Ribosomal protein S4,ATMG00290,RPS4,GRMZM5G849223 (RPS4)
GRMZM5G849223,GRMZM5G849223,Ribosomal protein S4,AT2G07734,,GRMZM5G849223
GRMZM5G850100,GRMZM5G850100,Putative uncharacterized protein orf104-b,,,GRMZM5G850100
GRMZM5G851130,GRMZM5G851130,Ribosomal protein S2,AT3G03600,RPS2,GRMZM5G851130 (RPS2)
GRMZM5G851921,GRMZM5G851921,Putative uncharacterized protein orf107-a,,,GRMZM5G851921
GRMZM5G853723,GRMZM5G853723,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic",ATCG01110,NDHH,GRMZM5G853723 (NDHH)
GRMZM5G856027,GRMZM5G856027,NADH dehydrogenase subunit 7,ATMG00510,NAD7,GRMZM5G856027 (NAD7)
GRMZM5G856189,GRMZM5G856189,Putative uncharacterized protein orf106-c,,,GRMZM5G856189
GRMZM5G856777,GRMZM5G856777,Photosystem II CP43 reaction center protein,ATCG00280,PSBC,GRMZM5G856777 (PSBC)
GRMZM5G856972,GRMZM5G856972,Putative uncharacterized protein orf115-c1,,,GRMZM5G856972
GRMZM5G857320,GRMZM5G857320,Putative uncharacterized protein orf119-b,,,GRMZM5G857320
GRMZM5G858556,GRMZM5G858556,"30S ribosomal protein S11, chloroplastic",ATCG00750,RPS11,GRMZM5G858556 (RPS11)
GRMZM5G860062,GRMZM5G860062,Putative uncharacterized protein orf125,,,GRMZM5G860062
GRMZM5G861212,GRMZM5G861212,Putative uncharacterized protein orf129-a,,,GRMZM5G861212
GRMZM5G861353,GRMZM5G861353,Uncharacterized protein ycf72,,,GRMZM5G861353
GRMZM5G861791,GRMZM5G861791,"30S ribosomal protein S3, chloroplastic",ATMG00090,,GRMZM5G861791
GRMZM5G862955,GRMZM5G862955,Cytochrome c oxidase subunit 2,ATMG00160,COX2,GRMZM5G862955 (COX2)
GRMZM5G863003,GRMZM5G863003,Putative uncharacterized protein orf101-b,,,GRMZM5G863003
GRMZM5G864407,GRMZM5G864407,"NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic",ATCG01080,NDHG,GRMZM5G864407 (NDHG)
GRMZM5G865196,GRMZM5G865196,Putative uncharacterized protein orf105-d,,,GRMZM5G865196
GRMZM5G866223,GRMZM5G866223,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic",ATCG01090,NDHI,GRMZM5G866223 (NDHI)
GRMZM5G866761,GRMZM5G866761,Putative uncharacterized protein ycf15,,,GRMZM5G866761
GRMZM5G866979,GRMZM5G866979,Putative uncharacterized protein orf206,,,GRMZM5G866979
GRMZM5G866990,GRMZM5G866990,Putative uncharacterized protein orf191,,,GRMZM5G866990
GRMZM5G867512,GRMZM5G867512,Cytochrome c biogenesis FN,ATMG00830,CCB382,GRMZM5G867512 (CCB382)
GRMZM5G871099,GRMZM5G871099,Putative uncharacterized protein orf115-c1,,,GRMZM5G871099
GRMZM5G871174,GRMZM5G871174,Putative uncharacterized protein orf116-b,,,GRMZM5G871174
GRMZM5G872747,GRMZM5G872747,Uncharacterized protein ycf73,,,GRMZM5G872747
GRMZM5G874740,GRMZM5G874740,Putative uncharacterized protein orf107-d,,,GRMZM5G874740
GRMZM5G875046,GRMZM5G875046,Putative uncharacterized protein orf126-d,,,GRMZM5G875046
GRMZM5G875287,GRMZM5G875287,"ATP synthase subunit a, chloroplastic",ATCG00150,ATPI,GRMZM5G875287 (ATPI)
GRMZM5G877173,GRMZM5G877173,Putative uncharacterized protein ycf15,,,GRMZM5G877173
GRMZM5G877454,GRMZM5G877454,DNA-directed RNA polymerase subunit beta,ATCG00190,RPOB,GRMZM5G877454 (RPOB)
GRMZM5G878344,GRMZM5G878344,Putative uncharacterized protein orf107-b,,,GRMZM5G878344
GRMZM5G879235,GRMZM5G879235,DNA-directed RNA polymerase subunit alpha,ATCG00740,RPOA,GRMZM5G879235 (RPOA)
GRMZM5G881661,GRMZM5G881661,Putative uncharacterized protein orf105-g,,,GRMZM5G881661
GRMZM5G882520,GRMZM5G882520,Putative uncharacterized protein orf302,,,GRMZM5G882520
GRMZM5G883882,GRMZM5G883882,Putative uncharacterized protein orf105-f,,,GRMZM5G883882
GRMZM5G884538,GRMZM5G884538,Cytochrome c oxidase subunit 3,AT2G07687,,GRMZM5G884538
GRMZM5G884538,GRMZM5G884538,Cytochrome c oxidase subunit 3,ATMG00730,COX3,GRMZM5G884538 (COX3)
GRMZM5G884707,GRMZM5G884707,Cytochrome b,ATMG00220,COB,GRMZM5G884707 (COB)
GRMZM5G884707,GRMZM5G884707,Cytochrome b,AT2G07727,,GRMZM5G884707
GRMZM5G884912,GRMZM5G884912,ATP synthase protein MI25,ATMG00640,ORF25,GRMZM5G884912 (ORF25)
GRMZM5G885905,GRMZM5G885905,Uncharacterized protein ycf73,,,GRMZM5G885905
GRMZM5G887290,GRMZM5G887290,Ribosomal protein S13,AT1G77750,,GRMZM5G887290
GRMZM5G889299,GRMZM5G889299,DNA polymerase,,,GRMZM5G889299
GRMZM5G889905,GRMZM5G889905,Cytochrome c biogenesis B,ATMG00110,CCB206,GRMZM5G889905 (CCB206)
GRMZM5G890451,GRMZM5G890451,Ribosomal protein S7,AT2G07696,,GRMZM5G890451
GRMZM5G890451,GRMZM5G890451,Ribosomal protein S7,ATMG01270,RPS7,GRMZM5G890451 (RPS7)
GRMZM5G890747,GRMZM5G890747,Putative uncharacterized protein orf119-a,,,GRMZM5G890747
GRMZM5G891801,GRMZM5G891801,Putative uncharacterized protein orf119-c,,,GRMZM5G891801
GRMZM5G892247,GRMZM5G892247,DNA-directed RNA polymerase subunit beta'',ATCG00170,RPOC2,GRMZM5G892247 (RPOC2)
GRMZM5G893089,GRMZM5G893089,Putative uncharacterized protein orf121-c,,,GRMZM5G893089
GRMZM5G894515,GRMZM5G894515,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic",ATCG01010,NDHF,GRMZM5G894515 (NDHF)
GRMZM5G897626,GRMZM5G897626,Putative uncharacterized protein orf100-a2,,,GRMZM5G897626
GRMZM5G897755,GRMZM5G897755,NADH-ubiquinone oxidoreductase chain 6,ATMG00270,NAD6,GRMZM5G897755 (NAD6)
GRMZM5G898647,GRMZM5G898647,Cytochrome c biogenesis,ATMG00900,CCB256,GRMZM5G898647 (CCB256)
GRMZM5G898647,GRMZM5G898647,Cytochrome c biogenesis,AT2G07771,ABCI5,GRMZM5G898647 (ABCI5)
GRMZM5G898772,GRMZM5G898772,Putative uncharacterized protein orf158-a1,,,GRMZM5G898772
GRMZM5G899366,GRMZM5G899366,DNA-directed RNA polymerase subunit beta',ATCG00180,RPOC1,GRMZM5G899366 (RPOC1)
GRMZM5G899452,GRMZM5G899452,Putative uncharacterized protein orf105-e,AT2G07722,,GRMZM5G899452
GRMZM5G899452,GRMZM5G899452,Putative uncharacterized protein orf105-e,ATMG00620,ORF139B,GRMZM5G899452 (ORF139B)
GRMZM5G899452,GRMZM5G899452,Putative uncharacterized protein orf105-e,ATMG00170,ORF139A,GRMZM5G899452 (ORF139A)
GRMZM5G899836,GRMZM5G899836,Uncharacterized protein ycf72,,,GRMZM5G899836
GRMZM5G899892,GRMZM5G899892,Putative uncharacterized protein orf109-b-ct,,,GRMZM5G899892
Zm00001d000001,polyphenol oxidase1,polyphenol oxidase1,,,polyphenol oxidase1
Zm00001d000002,dull endosperm1,dull endosperm1,AT1G11720,SS3,dull endosperm1 (SS3)
Zm00001d000004,Zm00001d000004,Postsynaptic protein CRIPT,AT1G61780,,Zm00001d000004
Zm00001d000005,Zm00001d000005,myosin heavy chain-related,AT1G50660,,Zm00001d000005
Zm00001d000006,Zm00001d000006,Germin-like protein subfamily 1 member 11,AT5G39110,,Zm00001d000006
Zm00001d000008,Zm00001d000008,Germin-like protein subfamily 1 member 8,AT5G38960,,Zm00001d000008
Zm00001d000011,Zm00001d000011,glyoxalase I homolog,AT1G67280,,Zm00001d000011
Zm00001d000012,Zm00001d000012,Germin-like protein subfamily 1 member 8,AT5G39110,,Zm00001d000012
Zm00001d000013,Zm00001d000013,Reverse transcriptase,,,Zm00001d000013
Zm00001d000016,Zm00001d000016,Fatty acid desaturase 4 chloroplastic,AT4G27030,FADA,Zm00001d000016 (FADA)
Zm00001d000017,Zm00001d000017,Germin-like protein,AT5G38960,,Zm00001d000017
Zm00001d000018,Zm00001d000018,Germin-like protein subfamily 1 member 8,AT5G39110,,Zm00001d000018
Zm00001d000020,Zm00001d000020,Fatty acid desaturase 4 chloroplastic,AT4G27030,FADA,Zm00001d000020 (FADA)
Zm00001d000021,glucose 6-phosphate/phosphate translocator1,glucose 6-phosphate/phosphate translocator1,AT1G61800,GPT2,glucose 6-phosphate/phosphate translocator1 (GPT2)
Zm00001d000023,Zm00001d000023,Polyadenylation and cleavage factor homolog 5,AT4G04885,PCFS4,Zm00001d000023 (PCFS4)
Zm00001d000026,Zm00001d000026,UDP-N-acetylglucosamine (UAA) transporter family,AT4G31600,UTr7,Zm00001d000026 (UTr7)
Zm00001d000027,Zm00001d000027,Pleiotropic drug resistance ABC transporter family protein,AT1G15520,PDR12,Zm00001d000027 (PDR12)
Zm00001d000028,Zm00001d000028,hydroxyproline-rich glycoprotein family protein,AT3G60380,,Zm00001d000028
Zm00001d000029,Zm00001d000029,Dual-specificity protein-like phosphatase 1%3B Protein-tyrosine phosphatase mitochondrial 1,AT2G35680,,Zm00001d000029
Zm00001d000030,Zm00001d000030,RNA-binding KH domain-containing protein PEPPER,AT4G26000,PEP,Zm00001d000030 (PEP)
Zm00001d000032,Zm00001d000032,Protein TAPETUM DETERMINANT 1,AT1G32583,,Zm00001d000032
Zm00001d000034,Zm00001d000034,Protein kinase superfamily protein,AT4G16970,,Zm00001d000034
Zm00001d000037,Zm00001d000037,Phospholipase A1-Ibeta2 chloroplastic,AT4G16820,PLA-I{beta]2,Zm00001d000037 (PLA-I{beta]2)
Zm00001d000038,Zm00001d000038,Serine/threonine-protein kinase D6PKL1,AT2G44830,,Zm00001d000038
Zm00001d000040,Zm00001d000040,alpha/beta-Hydrolases superfamily protein,AT3G60340,,Zm00001d000040
Zm00001d000041,Zm00001d000041,alpha/beta-Hydrolases superfamily protein,AT3G60340,,Zm00001d000041
Zm00001d000042,Zm00001d000042,Protein ARABIDILLO 1,AT2G44900,ARABIDILLO1,Zm00001d000042 (ARABIDILLO1)
Zm00001d000044,Zm00001d000044,U-box domain-containing protein 31,AT3G49810,,Zm00001d000044
Zm00001d000045,Trihelix-transcription factor 28,FRIGIDA interacting protein 2,AT2G44730,,Trihelix-transcription factor 28
Zm00001d000046,calcineurin B-like9,calcineurin B-like9,AT5G47100,CBL9,calcineurin B-like9 (CBL9)
Zm00001d000052,Zm00001d000052,Casein kinase II subunit beta-1,AT2G44680,CKB4,Zm00001d000052 (CKB4)
Zm00001d000053,Zm00001d000053,Histone H3 K4-specific methyltransferase SET7/9 family protein,AT1G77660,,Zm00001d000053
Zm00001d000055,bri1-like receptor kinase2,bri1-like receptor kinase2,AT2G01950,VH1,bri1-like receptor kinase2 (VH1)
Zm00001d000058,Zm00001d000058,CRIB domain-containing protein RIC10,AT4G04900,RIC10,Zm00001d000058 (RIC10)
Zm00001d000060,Zm00001d000060,NAD(P)-linked oxidoreductase superfamily protein,AT1G59960,,Zm00001d000060
Zm00001d000061,Zm00001d000061,GDSL esterase/lipase,AT2G42990,,Zm00001d000061
Zm00001d000064,Zm00001d000064,Glycine cleavage system H protein 2 mitochondrial,AT2G35120,,Zm00001d000064
Zm00001d000067,Zm00001d000067,Serine--tRNA ligase cytoplasmic,AT5G27470,,Zm00001d000067
Zm00001d000070,Cell Number Regulator4,Protein PLANT CADMIUM RESISTANCE 12,AT1G14870,PCR2,Cell Number Regulator4 (PCR2)
Zm00001d000071,nitrate transport6,Protein NRT1/ PTR FAMILY 8.3,AT2G02040,PTR2-B,nitrate transport6 (PTR2-B)
Zm00001d000072,Zm00001d000072,Protein NRT1/ PTR FAMILY 8.3,AT2G02040,PTR2-B,Zm00001d000072 (PTR2-B)
Zm00001d000074,Zm00001d000074,Transducin/WD40 repeat-like superfamily protein,AT5G54520,,Zm00001d000074
Zm00001d000076,hyperosmolality-gated calcium-permeable channels1,Pentatricopeptide repeat-containing protein,AT5G22400,,hyperosmolality-gated calcium-permeable channels1
Zm00001d000077,hyperosmolality-gated calcium-permeable channels1,Calcium permeable stress-gated cation channel 1,AT4G22120,,hyperosmolality-gated calcium-permeable channels1
Zm00001d000079,Zm00001d000079,Coatomer subunit epsilon-1,AT2G34840,,Zm00001d000079
Zm00001d000080,calcineurin B-like-interacting protein kinase8,CBL-interacting serine/threonine-protein kinase 8,AT4G24400,SnRK3.13,calcineurin B-like-interacting protein kinase8 (SnRK3.13)
Zm00001d000081,Zm00001d000081,Serine/threonine-protein kinase RUNKEL,AT5G18700,RUK,Zm00001d000081 (RUK)
Zm00001d000085,Zm00001d000085,transferases transferring hexosyl groups,AT1G11880,,Zm00001d000085
Zm00001d000086,Zm00001d000086,RNA-binding (RRM/RBD/RNP motifs) family protein,AT2G44710,,Zm00001d000086
Zm00001d000087,Zm00001d000087,Pentatricopeptide repeat-containing protein,AT1G77340,,Zm00001d000087
Zm00001d000089,Zm00001d000089,Boron transporter 4,AT2G20470,,Zm00001d000089
Zm00001d000092,Zm00001d000092,Expressed protein;  protein,AT2G36220,,Zm00001d000092
Zm00001d000093,Zm00001d000093,Pentatricopeptide repeat-containing protein  mitochondrial,,,Zm00001d000093
Zm00001d000094,Zm00001d000094,ACT domain-containing protein ACR12,AT5G04740,ACR12,Zm00001d000094 (ACR12)
Zm00001d000095,Zm00001d000095,9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic,AT3G14440,STO1,Zm00001d000095 (STO1)
Zm00001d000097,Zm00001d000097,Polyadenylate-binding protein-interacting protein 10,AT4G10610,RBP37,Zm00001d000097 (RBP37)
Zm00001d000098,Zm00001d000098,Probable protein phosphatase 2C 12,AT1G47380,,Zm00001d000098
Zm00001d000099,Zm00001d000099,Beta-13-galactosyltransferase 7,AT1G77810,,Zm00001d000099
Zm00001d000104,Zm00001d000104,40S ribosomal protein S14-3,AT3G52580,,Zm00001d000104
Zm00001d000106,Zm00001d000106,late embryogenesis abundant protein,,,Zm00001d000106
Zm00001d000107,Zm00001d000107,Fatty acyl-CoA reductase 1,AT5G22500,FAR1,Zm00001d000107 (FAR1)
Zm00001d000109,Zm00001d000109,hAT transposon superfamily protein,AT3G17450,,Zm00001d000109
Zm00001d000110,MYB-related-transcription factor 61,SWI/SNF complex subunit SWI3C,AT1G21700,SWI3C,MYB-related-transcription factor 61 (SWI3C)
Zm00001d000112,NAC-transcription factor 125,NAC domain-containing protein 2,AT5G08790,ATAF2,NAC-transcription factor 125 (ATAF2)
Zm00001d000115,Zm00001d000115,Probable protein phosphatase 2C 33,AT3G05640,,Zm00001d000115
Zm00001d000116,aldehyde dehydrogenase14,Aldehyde dehydrogenase,AT1G44170,ALDH4,aldehyde dehydrogenase14 (ALDH4)
Zm00001d000117,Zm00001d000117,Glucan endo-13-beta-glucosidase 14,AT2G27500,,Zm00001d000117
Zm00001d000118,Zm00001d000118,rRNA processing protein-related,AT5G61330,,Zm00001d000118
Zm00001d000120,maize CRY1 homolog2,maize CRY1 homolog2,AT3G52580,,maize CRY1 homolog2
Zm00001d000121,Zm00001d000121,40S ribosomal protein S4-3,AT5G07090,,Zm00001d000121
Zm00001d000121,Zm00001d000121,40S ribosomal protein S4-3,AT5G58420,,Zm00001d000121
Zm00001d000122,tyrosyl-DNA phosphodiesterase2,forkhead-associated domain-containing protein / FHA domain-containing protein,AT5G07400,,tyrosyl-DNA phosphodiesterase2
Zm00001d000123,Zm00001d000123,NAD(P)-binding Rossmann-fold superfamily protein,AT1G32220,,Zm00001d000123
Zm00001d000124,Zm00001d000124,Probable protein phosphatase 2C 40,AT3G16560,,Zm00001d000124
Zm00001d000126,Zm00001d000126,OSJNBb0118P14.9 protein; Os04g0403901 protein,,,Zm00001d000126
Zm00001d000133,Zm00001d000133,Acetyl-coenzyme A synthetase chloroplastic/glyoxysomal,AT5G36880,ACS,Zm00001d000133 (ACS)
Zm00001d000134,Zm00001d000134,OSJNBa0020I02.16 protein,,,Zm00001d000134
Zm00001d000135,Zm00001d000135,Late embryogenesis abundant protein (LEA) family protein,AT3G62580,,Zm00001d000135
Zm00001d000137,small kernel9,Putative pentatricopeptide repeat-containing protein  mitochondrial,,,small kernel9
Zm00001d000143,Zm00001d000143,Expressed protein;  protein,AT3G29180,,Zm00001d000143
Zm00001d000150,Zm00001d000150,Transducin/WD40 repeat-like superfamily protein,AT5G54520,,Zm00001d000150
Zm00001d000152,Zm00001d000152,Pentatricopeptide repeat-containing protein,AT3G11490,,Zm00001d000152
Zm00001d000153,dihydrodipicolinate decarboxylase2,Diaminopimelate decarboxylase 2 chloroplastic,AT3G14390,,dihydrodipicolinate decarboxylase2
Zm00001d000154,Zm00001d000154,Expressed protein;  protein,,,Zm00001d000154
Zm00001d000156,Zm00001d000156,Vesicle-fusing ATPase,AT4G04910,NSF,Zm00001d000156 (NSF)
Zm00001d000157,Zm00001d000157,9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic,AT3G14440,STO1,Zm00001d000157 (STO1)
Zm00001d000158,Zm00001d000158,Putative ankyrin repeat domain family protein,AT4G03490,,Zm00001d000158
Zm00001d000159,Zm00001d000159,60S ribosomal protein L11-2,,,Zm00001d000159
Zm00001d000160,Zm00001d000160,Transducin/WD40 repeat-like superfamily protein,AT5G54200,,Zm00001d000160
Zm00001d000161,basal endosperm transfer layer4,basal endosperm transfer layer4,,,basal endosperm transfer layer4
Zm00001d000163,1-aminocyclopropane-1-carboxylate oxidase7,1-aminocyclopropane-1-carboxylate oxidase,AT1G77330,ACO5,1-aminocyclopropane-1-carboxylate oxidase7 (ACO5)
Zm00001d000164,Zm00001d000164,Phosphoribulokinase chloroplastic,AT1G32060,PRK,Zm00001d000164 (PRK)
Zm00001d000165,Zm00001d000165,Bromodomain transcription factor,AT3G02160,,Zm00001d000165
Zm00001d000166,Zm00001d000166,Tudor/PWWP/MBT superfamily protein,AT3G03140,,Zm00001d000166
Zm00001d000168,cell division cycle201,cell division cycle201,AT4G33270,CDC20.1,cell division cycle201 (CDC20.1)
Zm00001d000169,MAP kinase-like2,Serine/threonine-protein kinase MHK,AT4G19110,,MAP kinase-like2
Zm00001d000170,Zm00001d000170,SRR1-like protein,AT5G12200,PYD2,Zm00001d000170 (PYD2)
Zm00001d000176,CO CO-LIKE TIMING OF CAB1 protein domain2,Zinc finger protein CONSTANS-LIKE 5,AT5G24930,COL4,CO CO-LIKE TIMING OF CAB1 protein domain2 (COL4)
Zm00001d000178,autophagy3,Autophagy-related protein 3,AT5G61500,ATG3,autophagy3 (ATG3)
Zm00001d000179,DRE-binding protein 2,AP2-EREBP-transcription factor 1,AT2G44940,,DRE-binding protein 2
Zm00001d000180,Zm00001d000180,8-amino-7-oxononanoate synthase,AT5G04620,BIOF,Zm00001d000180 (BIOF)
Zm00001d000183,monosaccharide transporter4,monosaccharide transporter4,AT1G11260,STP1,monosaccharide transporter4 (STP1)
Zm00001d000184,single-repeat Myb protein1,single-repeat Myb protein1,AT5G47390,MYBH,single-repeat Myb protein1 (MYBH)
Zm00001d000185,Zm00001d000185,OSJNBa0016N04.12 protein,AT1G21240,WAK3,Zm00001d000185 (WAK3)
Zm00001d000189,Zm00001d000189,MDIS1-interacting receptor like kinase 2,AT4G08850,,Zm00001d000189
Zm00001d000191,ubiquitin-protein ligase11,E3 ubiquitin-protein ligase UPL6,AT3G17205,UPL6,ubiquitin-protein ligase11 (UPL6)
Zm00001d000194,Zm00001d000194,Glycine-rich protein family,AT5G49350,,Zm00001d000194
Zm00001d000195,Zm00001d000195,Putative MATE efflux family protein,AT5G52450,,Zm00001d000195
Zm00001d000196,Zm00001d000196,Putative MATE efflux family protein,AT5G52450,,Zm00001d000196
Zm00001d000197,Zm00001d000197,DUF3511 domain protein,,,Zm00001d000197
Zm00001d000199,Zm00001d000199,Nicotinamide adenine dinucleotide transporter 1 chloroplastic,AT2G47490,NDT1,Zm00001d000199 (NDT1)
Zm00001d000202,Zm00001d000202,Charged multivesicular body protein 2a,AT5G44560,VPS2.2,Zm00001d000202 (VPS2.2)
Zm00001d000203,Zm00001d000203,Patatin-like protein 6,AT3G54950,pPLAIIIbeta,Zm00001d000203 (pPLAIIIbeta)
Zm00001d000204,sulfate transporter5,Probable sulfate transporter 3.4,AT3G15990,SULTR3;4,sulfate transporter5 (SULTR3;4)
Zm00001d000205,Zm00001d000205,Carboxypeptidase SOL1,AT1G71696,SOL1,Zm00001d000205 (SOL1)
